Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	collected_by	Collection_date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host_disease	Host	Instrument	Isolate	Isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SPECID	SRA Study	lib	type	days_post_onset
SRR6121564	WGS	252	904104432	PRJNA412631	SAMN07722310	Pathogen.cl	458053616	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-05	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234185	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50830	throat swab	42.284062 N 83.727127 W	HS1375_B_HK1	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1375	HS1375	SRP119147	HK1	clinical	1.0
SRR6121587	WGS	252	641905488	PRJNA412631	SAMN07722240	Pathogen.cl	317233122	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2015-01-05	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234162	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50246	throat swab	42.284062 N 83.727127 W	MH8766_B_HK1	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	MH8766	MH8766	SRP119147	HK1	clinical	4.0
SRR6121586	WGS	252	831286260	PRJNA412631	SAMN07722298	Pathogen.cl	428265094	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2015-01-09	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234163	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50727	throat swab	42.284062 N 83.727127 W	MH8922_A_HK1	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	MH8922	MH8922	SRP119147	HK1	clinical	1.0
SRR6121585	WGS	252	644099652	PRJNA412631	SAMN07722228	Pathogen.cl	311703268	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-31	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234164	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50167	throat swab	42.284062 N 83.727127 W	MH8700_B_HK2	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	MH8700	MH8700	SRP119147	HK2	clinical	4.0
SRR6121584	WGS	252	1019730096	PRJNA412631	SAMN07722321	Pathogen.cl	500829767	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-31	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234165	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50879	throat swab	42.284062 N 83.727127 W	MH8714_A_HK1	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	MH8714	MH8714	SRP119147	HK1	clinical	3.0
SRR6121583	WGS	252	648079992	PRJNA412631	SAMN07722341	Pathogen.cl	270277879	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-15	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234166	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	51055	throat swab	42.284062 N 83.727127 W	HS1474_A_HK7	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1474	HS1474	SRP119147	HK7	clinical	0.0
SRR6121581	WGS	252	1025468388	PRJNA412631	SAMN07722171	Pathogen.cl	545762127	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2012-12-20	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234168	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	331395	throat swab	42.284062 N 83.727127 W	1242_vic_2	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1242	MH2530	SRP119147	vic_2	clinical	3.0
SRR6121580	WGS	252	682896060	PRJNA412631	SAMN07722171	Pathogen.cl	341907825	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2012-12-20	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234169	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	331395	throat swab	42.284062 N 83.727127 W	1242_vic	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1242	MH2530	SRP119147	vic	clinical	3.0
SRR6121579	WGS	252	1299217752	PRJNA412631	SAMN07722172	Pathogen.cl	687550092	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2012-12-28	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234170	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	330032	throat swab	42.284062 N 83.727127 W	1245_vic_2	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1245	MH2616	SRP119147	vic_2	clinical	3.0
SRR6121578	WGS	252	1039979556	PRJNA412631	SAMN07722172	Pathogen.cl	539551955	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2012-12-28	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234171	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	330032	throat swab	42.284062 N 83.727127 W	1245_vic	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1245	MH2616	SRP119147	vic	clinical	3.0
SRR6121577	WGS	252	1495525248	PRJNA412631	SAMN07722173	Pathogen.cl	788559155	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2013-01-04	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234172	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	330441	throat swab	42.284062 N 83.727127 W	1303_vic_2	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1303	MH2706	SRP119147	vic_2	clinical	2.0
SRR6121576	WGS	252	958484268	PRJNA412631	SAMN07722173	Pathogen.cl	480789616	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2013-01-04	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234173	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	330441	throat swab	42.284062 N 83.727127 W	1303_vic	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1303	MH2706	SRP119147	vic	clinical	2.0
SRR6121575	WGS	252	1394408232	PRJNA412631	SAMN07722174	Pathogen.cl	746671993	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2013-01-07	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234174	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	331061	throat swab	42.284062 N 83.727127 W	1305_vic_2	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1305	MH2737	SRP119147	vic_2	clinical	5.0
SRR6121574	WGS	252	617988168	PRJNA412631	SAMN07722174	Pathogen.cl	318365797	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2013-01-07	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234175	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	331061	throat swab	42.284062 N 83.727127 W	1305_vic	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	1305	MH2737	SRP119147	vic	clinical	5.0
SRR6121571	WGS	252	859135788	PRJNA412631	SAMN07722219	Pathogen.cl	394461136	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-16	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234178	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50120	throat swab	42.284062 N 83.727127 W	HS1461_A_HK6	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1461	HS1461	SRP119147	HK6	clinical	1.0
SRR6121570	WGS	252	491602356	PRJNA412631	SAMN07722306	Pathogen.cl	223033944	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-15	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234179	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50809	throat swab	42.284062 N 83.727127 W	HS1460_A_HK6	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1460	HS1460	SRP119147	HK6	clinical	1.0
SRR6121568	WGS	252	756926100	PRJNA412631	SAMN07722219	Pathogen.cl	390121252	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-16	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234181	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50120	throat swab	42.284062 N 83.727127 W	HS1461_B_HK1	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1461	HS1461	SRP119147	HK1	clinical	1.0
SRR6121567	WGS	252	906409728	PRJNA412631	SAMN07722301	Pathogen.cl	458528322	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-15	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234182	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50784	throat swab	42.284062 N 83.727127 W	HS1465_B_HK1	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1465	HS1465	SRP119147	HK1	clinical	0.0
SRR6121566	WGS	252	553963284	PRJNA412631	SAMN07722301	Pathogen.cl	259722044	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-15	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234183	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50784	throat swab	42.284062 N 83.727127 W	HS1465_A_HK6	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1465	HS1465	SRP119147	HK6	clinical	0.0
SRR6121565	WGS	252	1090882296	PRJNA412631	SAMN07722310	Pathogen.cl	497113816	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-05	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234184	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50830	throat swab	42.284062 N 83.727127 W	HS1375_A_HK6	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1375	HS1375	SRP119147	HK6	clinical	1.0
SRR6121562	WGS	252	515800908	PRJNA412631	SAMN07722252	Pathogen.cl	241933704	LAURING LAB - UNIVERSITY OF MICHIGAN	Ohmit and Monto Labs	2014-12-03	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3234187	USA	North America	USA: Univeristy of Michigan hospital	Influenza	Homo sapiens	Illumina HiSeq 2500	50322	throat swab	42.284062 N 83.727127 W	HS1377_A_HK6	PAIRED	RT-PCR	VIRAL RNA	unidentified influenza virus	ILLUMINA	2017-09-29T00:00:00Z	HS1377	HS1377	SRP119147	HK6	clinical	0.0
