Specid	Run_x	Run_y	Segment	Start	Stop	Total_support_x	Total_support_y	Rel_support_x	Rel_support_y	plasmid_x	plasmid_y	segment	mapped_start	mapped_stop	enrollid	genomes_per_ul	Total_support	Rel_support
HS1341	SRR6121527	SRR6121625	CY207736.1	771	1889	6.0	8.0	0.0054744525547445	0.0072992700729927	False	False	PA	782	1900	50832	42048.2628731935	7.0	0.0063868613138686
HS1341	SRR6121527	SRR6121625	CY207736.1	775	1895	134.0	128.0	0.1222627737226277	0.1167883211678832	False	False	PA	786	1906	50832	42048.2628731935	131.0	0.11952554744525545
HS1341	SRR6121527	SRR6121625	CY207736.1	842	1742	4.0	10.0	0.0036496350364963	0.0091240875912408	False	False	PA	853	1753	50832	42048.2628731935	7.0	0.00638686131386855
HS1341	SRR6121527	SRR6121625	CY207736.1	844	1814	8.0	3.0	0.0072992700729927	0.0027372262773722	False	False	PA	855	1825	50832	42048.2628731935	5.5	0.00501824817518245
HS1341	SRR6121527	SRR6121625	CY207736.1	853	1725	8.0	27.0	0.0072992700729927	0.0246350364963503	False	False	PA	864	1736	50832	42048.2628731935	17.5	0.0159671532846715
HS1341	SRR6121527	SRR6121625	CY207736.1	863	1615	10.0	2.0	0.0091240875912408	0.0018248175182481	False	False	PA	874	1626	50832	42048.2628731935	6.0	0.00547445255474445
HS1341	SRR6121527	SRR6121625	CY207736.1	893	1639	37.0	33.0	0.0337591240875912	0.0301094890510948	False	False	PA	904	1650	50832	42048.2628731935	35.0	0.031934306569343
HS1341	SRR6121527	SRR6121625	CY207736.1	894	1754	19.0	10.0	0.0173357664233576	0.0091240875912408	False	False	PA	905	1765	50832	42048.2628731935	14.5	0.013229927007299202
HS1341	SRR6121527	SRR6121625	CY207737.1	388	434	33.0	55.0	0.0285961871750433	0.0476603119584055	False	False	PB1	397	443	50832	42048.2628731935	44.0	0.0381282495667244
HS1341	SRR6121527	SRR6121625	CY207737.1	494	2228	22.0	6.0	0.0190641247833622	0.0051993067590987	False	False	PB1	503	2237	50832	42048.2628731935	14.0	0.012131715771230449
HS1341	SRR6121527	SRR6121625	CY207737.1	584	2244	48.0	45.0	0.0415944540727903	0.0389948006932409	False	False	PB1	593	2253	50832	42048.2628731935	46.5	0.0402946273830156
HS1341	SRR6121527	SRR6121625	CY207737.1	598	1867	12.0	15.0	0.0103986135181975	0.0129982668977469	False	False	PB1	607	1876	50832	42048.2628731935	13.5	0.0116984402079722
HS1341	SRR6121527	SRR6121625	CY207737.1	622	1758	61.0	65.0	0.0528596187175043	0.0563258232235701	False	False	PB1	631	1767	50832	42048.2628731935	63.0	0.054592720970537204
HS1341	SRR6121527	SRR6121625	CY207737.1	691	2063	45.0	4.0	0.0389948006932409	0.0034662045060658	False	False	PB1	700	2072	50832	42048.2628731935	24.5	0.02123050259965335
HS1341	SRR6121527	SRR6121625	CY207737.1	753	1887	10.0	7.0	0.0086655112651646	0.0060658578856152	False	False	PB1	762	1896	50832	42048.2628731935	8.5	0.0073656845753899
HS1341	SRR6121527	SRR6121625	CY207737.1	758	1888	8.0	5.0	0.0069324090121317	0.0043327556325823	False	False	PB1	767	1897	50832	42048.2628731935	6.5	0.005632582322356999
HS1341	SRR6121527	SRR6121625	CY207737.1	760	1888	8.0	10.0	0.0069324090121317	0.0086655112651646	False	False	PB1	769	1897	50832	42048.2628731935	9.0	0.007798960138648149
HS1341	SRR6121527	SRR6121625	CY207737.1	824	1826	17.0	15.0	0.0147313691507798	0.0129982668977469	False	False	PB1	833	1835	50832	42048.2628731935	16.0	0.01386481802426335
HS1341	SRR6121527	SRR6121625	CY207737.1	872	1770	9.0	19.0	0.0077989601386481	0.0164644714038128	False	False	PB1	881	1779	50832	42048.2628731935	14.0	0.01213171577123045
HS1341	SRR6121527	SRR6121625	CY207738.1	380	2311	84.0	58.0	0.0727272727272727	0.0502164502164502	False	False	PB2	395	2326	50832	42048.2628731935	71.0	0.06147186147186145
HS1341	SRR6121527	SRR6121625	CY207738.1	381	2402	29.0	22.0	0.0251082251082251	0.019047619047619	False	False	PB2	396	2417	50832	42048.2628731935	25.5	0.02207792207792205
HS1341	SRR6121527	SRR6121625	CY207738.1	478	2189	28.0	0.0	0.0242424242424242	0.0	False	False	PB2	493	2204	50832	42048.2628731935	14.0	0.0121212121212121
HS1341	SRR6121527	SRR6121625	CY207738.1	507	2209	22.0	29.0	0.019047619047619	0.0251082251082251	False	False	PB2	522	2224	50832	42048.2628731935	25.5	0.02207792207792205
HS1341	SRR6121527	SRR6121625	CY207738.1	518	2137	12.0	11.0	0.0103896103896103	0.0095238095238095	False	False	PB2	533	2152	50832	42048.2628731935	11.5	0.0099567099567099
HS1341	SRR6121527	SRR6121625	CY207738.1	579	1825	11.0	8.0	0.0095238095238095	0.0069264069264069	False	False	PB2	594	1840	50832	42048.2628731935	9.5	0.008225108225108201
HS1341	SRR6121527	SRR6121625	CY207738.1	591	2089	69.0	52.0	0.0597402597402597	0.045021645021645	False	False	PB2	606	2104	50832	42048.2628731935	60.5	0.05238095238095235
HS1341	SRR6121527	SRR6121625	CY207738.1	618	2006	27.0	11.0	0.0233766233766233	0.0095238095238095	False	False	PB2	633	2021	50832	42048.2628731935	19.0	0.016450216450216402
HS1341	SRR6121527	SRR6121625	CY207738.1	656	2086	78.0	50.0	0.0675324675324675	0.0432900432900432	False	False	PB2	671	2101	50832	42048.2628731935	64.0	0.05541125541125535
HS1341	SRR6121527	SRR6121625	CY207738.1	732	1942	27.0	52.0	0.0233766233766233	0.045021645021645	False	False	PB2	747	1957	50832	42048.2628731935	39.5	0.034199134199134146
HS1341	SRR6121527	SRR6121625	CY207738.1	790	2030	13.0	5.0	0.0112554112554112	0.0043290043290043	False	False	PB2	805	2045	50832	42048.2628731935	9.0	0.007792207792207751
HS1341	SRR6121527	SRR6121625	CY207738.1	793	1861	28.0	19.0	0.0242424242424242	0.0164502164502164	False	False	PB2	808	1876	50832	42048.2628731935	23.5	0.0203463203463203
HS1341	SRR6121527	SRR6121625	CY207738.1	799	2027	30.0	16.0	0.0259740259740259	0.0138528138528138	False	False	PB2	814	2042	50832	42048.2628731935	23.0	0.01991341991341985
HS1341	SRR6121527	SRR6121625	CY207738.1	842	1861	18.0	4.0	0.0155844155844155	0.0034632034632034	False	False	PB2	857	1876	50832	42048.2628731935	11.0	0.00952380952380945
HS1341	SRR6121527	SRR6121625	CY207738.1	845	1810	5.0	8.0	0.0043290043290043	0.0069264069264069	False	False	PB2	860	1825	50832	42048.2628731935	6.5	0.0056277056277056
HS1341	SRR6121527	SRR6121625	CY207738.1	850	1774	19.0	13.0	0.0164502164502164	0.0112554112554112	False	False	PB2	865	1789	50832	42048.2628731935	16.0	0.0138528138528138
HS1341	SRR6121527	SRR6121625	CY207738.1	855	1758	10.0	15.0	0.0086580086580086	0.0129870129870129	False	False	PB2	870	1773	50832	42048.2628731935	12.5	0.010822510822510751
HS1341	SRR6121527	SRR6121625	CY207738.1	857	1857	7.0	21.0	0.006060606060606	0.0181818181818181	False	False	PB2	872	1872	50832	42048.2628731935	14.0	0.01212121212121205
HS1341	SRR6121527	SRR6121625	CY207738.1	895	1815	14.0	16.0	0.0121212121212121	0.0138528138528138	False	False	PB2	910	1830	50832	42048.2628731935	15.0	0.01298701298701295
HS1341	SRR6121527	SRR6121625	CY207738.1	966	1896	5.0	11.0	0.0043290043290043	0.0095238095238095	False	False	PB2	981	1911	50832	42048.2628731935	8.0	0.0069264069264069
HS1341	SRR6121527	SRR6121625	CY207736.1	269	312	0.0	11.0	0.0	0.0100364963503649	False	False	PA	280	323	50832	42048.2628731935	5.5	0.00501824817518245
HS1341	SRR6121527	SRR6121625	CY207736.1	547	2010	0.0	18.0	0.0	0.0164233576642335	False	False	PA	558	2021	50832	42048.2628731935	9.0	0.00821167883211675
HS1341	SRR6121527	SRR6121625	CY207736.1	782	2135	0.0	15.0	0.0	0.0136861313868613	False	False	PA	793	2146	50832	42048.2628731935	7.5	0.00684306569343065
HS1341	SRR6121527	SRR6121625	CY207736.1	851	1695	0.0	19.0	0.0	0.0173357664233576	False	False	PA	862	1706	50832	42048.2628731935	9.5	0.0086678832116788
HS1341	SRR6121527	SRR6121625	CY207737.1	363	2451	0.0	12.0	0.0	0.0103986135181975	False	False	PB1	372	2460	50832	42048.2628731935	6.0	0.00519930675909875
HS1341	SRR6121527	SRR6121625	CY207737.1	392	417	0.0	16.0	0.0	0.0138648180242634	False	False	PB1	401	426	50832	42048.2628731935	8.0	0.0069324090121317
HS1341	SRR6121527	SRR6121625	CY207737.1	502	2152	0.0	15.0	0.0	0.0129982668977469	False	False	PB1	511	2161	50832	42048.2628731935	7.5	0.00649913344887345
HS1341	SRR6121527	SRR6121625	CY207738.1	393	2240	0.0	23.0	0.0	0.0199134199134199	False	False	PB2	408	2255	50832	42048.2628731935	11.5	0.00995670995670995
HS1341	SRR6121527	SRR6121625	CY207738.1	461	2367	0.0	14.0	0.0	0.0121212121212121	False	False	PB2	476	2382	50832	42048.2628731935	7.0	0.00606060606060605
HS1341	SRR6121527	SRR6121625	CY207738.1	518	2191	0.0	17.0	0.0	0.0147186147186147	False	False	PB2	533	2206	50832	42048.2628731935	8.5	0.00735930735930735
HS1345	SRR6121510	SRR6121511	CY207736.1	575	1925	110.0	0.0	0.1003649635036496	0.0	False	False	PA	586	1936	50307	8164.65663560268	55.0	0.0501824817518248
HS1345	SRR6121510	SRR6121511	CY207736.1	607	1922	154.0	34.0	0.1405109489051094	0.0310218978102189	False	False	PA	618	1933	50307	8164.65663560268	94.0	0.08576642335766416
HS1345	SRR6121510	SRR6121511	CY207736.1	611	1913	37.0	0.0	0.0337591240875912	0.0	False	False	PA	622	1924	50307	8164.65663560268	18.5	0.0168795620437956
HS1345	SRR6121510	SRR6121511	CY207736.1	630	1935	120.0	0.0	0.1094890510948905	0.0	False	False	PA	641	1946	50307	8164.65663560268	60.0	0.05474452554744525
HS1345	SRR6121510	SRR6121511	CY207736.1	914	2225	89.0	0.0	0.0812043795620438	0.0	False	False	PA	925	2236	50307	8164.65663560268	44.5	0.0406021897810219
HS1345	SRR6121510	SRR6121511	CY207738.1	304	2334	33.0	0.0	0.0285714285714285	0.0	False	False	PB2	319	2349	50307	8164.65663560268	16.5	0.01428571428571425
HS1345	SRR6121510	SRR6121511	CY207738.1	329	2034	62.0	0.0	0.0536796536796536	0.0	False	False	PB2	344	2049	50307	8164.65663560268	31.0	0.0268398268398268
HS1345	SRR6121510	SRR6121511	CY207738.1	419	2217	18.0	0.0	0.0155844155844155	0.0	False	False	PB2	434	2232	50307	8164.65663560268	9.0	0.00779220779220775
HS1345	SRR6121510	SRR6121511	CY207738.1	507	2203	134.0	0.0	0.116017316017316	0.0	False	False	PB2	522	2218	50307	8164.65663560268	67.0	0.058008658008658
HS1345	SRR6121510	SRR6121511	CY207738.1	584	2092	168.0	0.0	0.1454545454545454	0.0	False	False	PB2	599	2107	50307	8164.65663560268	84.0	0.0727272727272727
HS1345	SRR6121510	SRR6121511	CY207738.1	690	1916	135.0	205.0	0.1168831168831168	0.1774891774891775	False	False	PB2	705	1931	50307	8164.65663560268	170.0	0.14718614718614714
HS1345	SRR6121510	SRR6121511	CY207736.1	334	2238	0.0	63.0	0.0	0.0574817518248175	False	False	PA	345	2249	50307	8164.65663560268	31.5	0.02874087591240875
HS1345	SRR6121510	SRR6121511	CY207736.1	453	2044	0.0	163.0	0.0	0.1487226277372262	False	False	PA	464	2055	50307	8164.65663560268	81.5	0.0743613138686131
HS1345	SRR6121510	SRR6121511	CY207736.1	642	1922	0.0	116.0	0.0	0.1058394160583941	False	False	PA	653	1933	50307	8164.65663560268	58.0	0.05291970802919705
HS1345	SRR6121510	SRR6121511	CY207736.1	783	1878	0.0	219.0	0.0	0.1998175182481751	False	False	PA	794	1889	50307	8164.65663560268	109.5	0.09990875912408755
HS1345	SRR6121510	SRR6121511	CY207737.1	1602	1681	0.0	41.0	0.0	0.035528596187175	False	False	PB1	1611	1690	50307	8164.65663560268	20.5	0.0177642980935875
HS1357	SRR6121506	SRR6121507	CY207736.1	1901	1947	65.0	68.0	0.0593065693430656	0.0620437956204379	False	False	PA	1912	1958	50717	15017.4254643579	66.5	0.06067518248175175
HS1357	SRR6121506	SRR6121507	CY207736.1	1915	1972	5.0	19.0	0.0045620437956204	0.0173357664233576	False	False	PA	1926	1983	50717	15017.4254643579	12.0	0.010948905109489001
HS1357	SRR6121506	SRR6121507	CY207736.1	291	2148	40.0	45.0	0.0364963503649635	0.0410583941605839	False	False	PA	302	2159	50717	15017.4254643579	42.5	0.038777372262773696
HS1357	SRR6121506	SRR6121507	CY207736.1	310	2211	8.0	11.0	0.0072992700729927	0.0100364963503649	False	False	PA	321	2222	50717	15017.4254643579	9.5	0.008667883211678799
HS1357	SRR6121506	SRR6121507	CY207736.1	334	1775	7.0	9.0	0.0063868613138686	0.0082116788321167	False	False	PA	345	1786	50717	15017.4254643579	8.0	0.00729927007299265
HS1357	SRR6121506	SRR6121507	CY207736.1	383	2141	4.0	43.0	0.0036496350364963	0.0392335766423357	False	False	PA	394	2152	50717	15017.4254643579	23.5	0.021441605839415998
HS1357	SRR6121506	SRR6121507	CY207736.1	490	513	16.0	9.0	0.0145985401459854	0.0082116788321167	False	False	PA	501	524	50717	15017.4254643579	12.5	0.01140510948905105
HS1357	SRR6121506	SRR6121507	CY207736.1	499	2041	16.0	0.0	0.0145985401459854	0.0	False	False	PA	510	2052	50717	15017.4254643579	8.0	0.0072992700729927
HS1357	SRR6121506	SRR6121507	CY207736.1	555	2032	32.0	29.0	0.0291970802919708	0.0264598540145985	False	False	PA	566	2043	50717	15017.4254643579	30.5	0.02782846715328465
HS1357	SRR6121506	SRR6121507	CY207736.1	561	2028	16.0	39.0	0.0145985401459854	0.0355839416058394	False	False	PA	572	2039	50717	15017.4254643579	27.5	0.0250912408759124
HS1357	SRR6121506	SRR6121507	CY207736.1	576	2038	26.0	0.0	0.0237226277372262	0.0	False	False	PA	587	2049	50717	15017.4254643579	13.0	0.0118613138686131
HS1357	SRR6121506	SRR6121507	CY207736.1	606	1578	11.0	0.0	0.0100364963503649	0.0	False	False	PA	617	1589	50717	15017.4254643579	5.5	0.00501824817518245
HS1357	SRR6121506	SRR6121507	CY207736.1	619	1896	12.0	5.0	0.010948905109489	0.0045620437956204	False	False	PA	630	1907	50717	15017.4254643579	8.5	0.0077554744525547
HS1357	SRR6121506	SRR6121507	CY207736.1	657	1895	41.0	51.0	0.0374087591240875	0.0465328467153284	False	False	PA	668	1906	50717	15017.4254643579	46.0	0.04197080291970795
HS1357	SRR6121506	SRR6121507	CY207736.1	678	1854	14.0	21.0	0.0127737226277372	0.0191605839416058	False	False	PA	689	1865	50717	15017.4254643579	17.5	0.0159671532846715
HS1357	SRR6121506	SRR6121507	CY207736.1	702	1861	8.0	39.0	0.0072992700729927	0.0355839416058394	False	False	PA	713	1872	50717	15017.4254643579	23.5	0.02144160583941605
HS1357	SRR6121506	SRR6121507	CY207736.1	710	1958	19.0	0.0	0.0173357664233576	0.0	False	False	PA	721	1969	50717	15017.4254643579	9.5	0.0086678832116788
HS1357	SRR6121506	SRR6121507	CY207736.1	756	1700	11.0	0.0	0.0100364963503649	0.0	False	False	PA	767	1711	50717	15017.4254643579	5.5	0.00501824817518245
HS1357	SRR6121506	SRR6121507	CY207736.1	878	1977	14.0	0.0	0.0127737226277372	0.0	False	False	PA	889	1988	50717	15017.4254643579	7.0	0.0063868613138686
HS1357	SRR6121506	SRR6121507	CY207737.1	2165	2193	12.0	15.0	0.0103986135181975	0.0129982668977469	False	False	PB1	2174	2202	50717	15017.4254643579	13.5	0.0116984402079722
HS1357	SRR6121506	SRR6121507	CY207737.1	372	2237	10.0	3.0	0.0086655112651646	0.0025996533795493	False	False	PB1	381	2246	50717	15017.4254643579	6.5	0.00563258232235695
HS1357	SRR6121506	SRR6121507	CY207737.1	436	2238	20.0	0.0	0.0173310225303292	0.0	False	False	PB1	445	2247	50717	15017.4254643579	10.0	0.0086655112651646
HS1357	SRR6121506	SRR6121507	CY207737.1	728	1788	21.0	24.0	0.0181975736568457	0.0207972270363951	False	False	PB1	737	1797	50717	15017.4254643579	22.5	0.0194974003466204
