segment	mapped_start	mapped_stop	0_x	0_y
PA	203	1972	3	3.0
PA	203	2016	3	3.0
PA	203	2071	3	3.0
PA	204	1983	3	3.0
PA	206	1842	3	3.0
PA	206	2016	3	3.0
PA	207	1969	3	3.0
PA	208	1907	3	3.0
PA	208	1935	3	3.0
PA	211	262	3	3.0
PA	213	1949	3	3.0
PA	216	1864	3	3.0
PA	217	1891	3	3.0
PA	217	1932	3	3.0
PA	218	1911	3	3.0
PA	226	1950	3	3.0
PA	228	1864	3	3.0
PA	228	1941	3	3.0
PA	229	1945	3	3.0
PA	237	1876	3	3.0
PA	237	1890	3	3.0
PA	249	1828	3	3.0
PA	249	1864	3	3.0
PA	249	1933	3	3.0
PA	250	285	3	3.0
PA	250	349	3	3.0
PA	250	1878	3	3.0
PA	250	1969	3	3.0
PA	250	1973	3	3.0
PA	251	1860	3	3.0
PA	254	1842	3	3.0
PA	254	1972	3	3.0
PA	255	1833	3	3.0
PA	256	1836	3	3.0
PA	259	1858	3	3.0
PA	273	1851	3	3.0
PA	274	1873	3	3.0
PA	277	1830	3	3.0
PA	278	356	3	3.0
PA	278	1834	3	3.0
PA	280	1753	3	3.0
PA	283	1875	3	3.0
PA	283	1948	3	3.0
PA	284	1811	3	3.0
PA	288	1841	3	3.0
PA	289	1871	3	3.0
PA	291	357	3	3.0
PA	291	1844	3	3.0
PA	291	1862	3	3.0
PA	292	1935	3	3.0
PA	294	1942	3	3.0
PA	294	2024	3	3.0
PA	296	361	3	3.0
PA	296	1849	3	3.0
PA	300	1746	3	3.0
PA	301	340	3	3.0
PA	305	1811	3	3.0
PA	305	1859	3	3.0
PA	310	1865	3	3.0
PA	313	1812	3	3.0
PA	313	1830	3	3.0
PA	313	1957	3	3.0
PA	316	1807	3	3.0
PA	316	1811	3	3.0
PA	338	1842	3	3.0
PA	340	367	3	3.0
PA	350	1742	3	3.0
PA	355	1758	3	3.0
PA	356	1672	3	3.0
PA	356	1735	3	3.0
PA	356	1835	3	3.0
PA	357	1642	3	3.0
PA	359	1810	3	3.0
PA	363	1803	3	3.0
PA	363	1852	3	3.0
PA	364	1802	3	3.0
PA	365	1813	3	3.0
PA	365	1829	3	3.0
PA	374	1801	3	3.0
PA	382	1811	3	3.0
PA	403	1822	3	3.0
PA	407	1877	3	3.0
PA	408	437	3	3.0
PA	408	1657	3	3.0
PA	408	1782	3	3.0
PA	409	1714	3	3.0
PA	413	437	3	3.0
PA	417	1627	3	3.0
PA	417	1671	3	3.0
PA	417	1864	3	3.0
PA	418	1753	3	3.0
PA	428	1690	3	3.0
PA	429	1738	3	3.0
PA	430	1657	3	3.0
PA	432	1698	3	3.0
PA	432	1738	3	3.0
PA	433	1729	3	3.0
PA	437	1673	3	3.0
PA	445	1655	3	3.0
PA	448	1657	3	3.0
PA	451	1710	3	3.0
PA	452	1657	3	3.0
PA	455	1714	3	3.0
PA	467	1643	3	3.0
PA	474	1788	3	3.0
PA	475	1644	3	3.0
PA	484	1949	3	3.0
PA	485	1683	3	3.0
PA	486	1715	3	3.0
PA	493	1984	3	3.0
PA	500	1177	3	3.0
PA	503	1662	3	3.0
PA	504	1643	3	3.0
PA	511	1665	3	3.0
PA	512	1628	3	3.0
PA	528	1751	3	3.0
PA	528	1906	3	3.0
PA	529	1628	3	3.0
PA	529	1669	3	3.0
PA	532	1669	3	3.0
PA	537	1691	3	3.0
PA	542	1627	3	3.0
PA	545	1627	3	3.0
PA	550	1657	3	3.0
PA	550	1672	3	3.0
PA	554	1584	3	3.0
PA	554	1590	3	3.0
PA	554	1665	3	3.0
PA	555	1641	3	3.0
PA	555	1713	3	3.0
PA	558	1628	3	3.0
PA	568	1592	3	3.0
PA	570	1967	3	3.0
PA	572	1628	3	3.0
PA	574	1641	3	3.0
PA	574	1672	3	3.0
PA	574	1696	3	3.0
PA	576	1496	3	3.0
PA	580	1701	3	3.0
PA	583	1640	3	3.0
PA	620	1579	3	3.0
PA	654	1526	3	3.0
PA	716	1537	3	3.0
PA	886	2067	3	3.0
PA	1078	1763	3	3.0
PA	1590	1807	3	3.0
PA	1805	1828	3	3.0
PA	1809	1864	3	3.0
PA	1838	1865	3	3.0
PA	1841	1864	3	3.0
PA	1842	1891	3	3.0
PA	1904	1948	3	3.0
PA	1924	1957	3	3.0
PA	1930	1953	3	3.0
PA	1930	1983	3	3.0
PA	1931	2017	3	3.0
PA	1933	1981	3	3.0
PA	1933	2014	3	3.0
PA	1934	2000	3	3.0
PA	1941	1964	3	3.0
